JobTitle,Company,Location,Salary,PostDate,ExtractDate,Summary,JobUrl
Data Scientist-AI Platform (Entry) 2491 TT,Mediro Application Consulting,Pretoria,R Undisclosed,Posted 22 Jul 2024,2024-07-24,"R Undisclosed
Contract Junior position

Pretoria

Posted 22 Jul 2024
Expires in 9 days
Job 2574717 - Ref LM_504958795053",https://www.careerjunction.co.za/data-scientist-ai-platform-entry-2491-tt-job-2574717.aspx
BI Developer,Career Minded,Centurion,"R40,000 - R50,000 per month",Posted 22 Jul 2024,2024-07-24,"R40,000 - R50,000 per month
Permanent Intermediate position

Centurion

Posted 22 Jul 2024
Expires in 32 days
Job 2576761 - Ref KK-BI-Ins",https://www.careerjunction.co.za/bi-developer-job-2576761.aspx
BI Developer,Career Minded,Centurion,"R40,000 - R50,000 per month",Posted 17 Jul 2024,2024-07-24,"R40,000 - R50,000 per month
Permanent Intermediate position

Centurion

Posted 17 Jul 2024
Expires in 19 days
Job 2575275 - Ref KK-BI-Ins",https://www.careerjunction.co.za/bi-developer-job-2575275.aspx
BI Developer,Career Minded,Centurion,"R40,000 - R50,000 per month",Posted 16 Jul 2024,2024-07-24,"R40,000 - R50,000 per month
Permanent Intermediate position

Centurion

Posted 16 Jul 2024
Expires in 26 days
Job 2576136 - Ref KK-BI-Ins",https://www.careerjunction.co.za/bi-developer-job-2576136.aspx
Junior Data Analyst,Hire Resolve,Pretoria,"R8,300 - R12,500 per month",Posted 24 Jul 2024,2024-07-24,"R8,300 - R12,500 per month
Permanent Junior position

Pretoria

Posted 24 Jul 2024
Expires in 34 days
Job 2577068 - Ref 99849",https://www.careerjunction.co.za/junior-data-analyst-job-2577068.aspx
AWS Data Engineer,Jordan HR,Pretoria Region,R700.00 - R900.00 per hour,Posted 23 Jul 2024,2024-07-24,"R700.00 - R900.00 per hour
Contract Executive position

Pretoria Region

Posted 23 Jul 2024
Expires in 15 days
Job 2574852",https://www.careerjunction.co.za/aws-data-engineer-job-2574852.aspx
Business Intelligence Engineer - Centurion ,Fourier Recruitment,Pretoria,R Undisclosed,Posted 19 Jul 2024,2024-07-24,"R Undisclosed
Permanent Intermediate position

Pretoria

Posted 19 Jul 2024
Expires in 24 days
Job 2576586 - Ref LC_030129163230",https://www.careerjunction.co.za/business-intelligence-engineer-centurion-job-2576586.aspx
Business Intelligence System Analyst,Tipp Focus Holdings,Pretoria CBD,Undisclosed,Posted 18 Jul 2024,2024-07-24,"Undisclosed
Contract Senior position

Pretoria CBD

Posted 18 Jul 2024
Expires in 1 day
Job 2572999",https://www.careerjunction.co.za/business-intelligence-system-analyst-job-2572999.aspx
HEAD OF DATA - PRETORIA at HR Options,Competent Candidates (PTY) LTD,"Pretoria
 / Work From Home",R Undisclosed,Posted 17 Jul 2024,2024-07-24,"R Undisclosed
Permanent Senior position

Pretoria
 / Work From Home

Posted 17 Jul 2024
Expires in 21 days
Job 2576333 - Ref 2824iA BA HDATA",https://www.careerjunction.co.za/head-of-data-pretoria-at-hr-options-job-2576333.aspx
Admin Officer,Phanda Personnel,Pretoria CBD,R Undisclosed,Posted 24 Jul 2024,2024-07-24,"R Undisclosed
Temporary Intermediate position

Pretoria CBD

Posted 24 Jul 2024
Expires in 7 days
Job 2573762",https://www.careerjunction.co.za/admin-officer-job-2573762.aspx
ESG Specialist at BMW Group,DCV Sabenza IT and Recruitment,Centurion,Undisclosed,Posted 23 Jul 2024,2024-07-24,"Undisclosed
Permanent Specialist EE position

Centurion

Posted 23 Jul 2024
Expires in 25 days
Job 2575908",https://www.careerjunction.co.za/esg-specialist-at-bmw-group-job-2575908.aspx
